Date,AAPL,AMZN,GOOGL,JNJ,JPM,MSFT,PG,TSLA,V,WMT
2022-04-21,163.3665313720703,148.29600524902344,123.95954132080078,165.17926025390625,119.12810516357422,272.77838134765625,149.76136779785156,336.260009765625,210.7823486328125,50.87996292114258
2022-04-22,158.8214874267578,144.35000610351562,118.81600952148438,163.53970336914062,115.70646667480469,266.1922607421875,148.50885009765625,335.01666259765625,202.7191925048828,49.92200469970703
2022-04-25,159.8914794921875,146.07400512695312,122.23096466064453,167.56651306152344,115.66997528076172,272.6909484863281,149.70614624023438,332.67333984375,204.4525604248047,49.94746780395508
2022-04-26,153.9230194091797,139.39100646972656,117.83726501464844,166.36837768554688,112.24832153320312,262.49127197265625,147.16421508789062,292.1400146484375,195.83428955078125,49.42552947998047
2022-04-27,153.697265625,138.16700744628906,113.5115966796875,164.044189453125,110.78841400146484,275.1194763183594,146.76820373535156,293.836669921875,208.50363159179688,49.088165283203125
2022-04-28,160.63754272460938,144.59649658203125,117.71063995361328,165.26934814453125,112.540283203125,281.3460388183594,150.4981689453125,292.5033264160156,214.88214111328125,49.71513366699219
2022-04-29,154.7574462890625,124.28150177001953,113.32786560058594,162.56680297851562,108.9087905883789,269.58245849609375,147.8641357421875,290.2533264160156,207.54931640625,48.69034194946289
2022-05-02,155.06173706054688,124.5,115.78443145751953,160.92726135253906,109.90333557128906,276.3337097167969,145.8656463623047,300.9800109863281,205.9911651611328,48.368900299072266
2022-05-03,156.55384826660156,124.25350189208984,116.53026580810547,160.6119384765625,112.25746154785156,273.7205505371094,143.86708068847656,303.0833435058594,203.09898376464844,48.53758239746094
2022-05-04,162.97384643554688,125.92849731445312,121.42352294921875,162.3325653076172,115.97105407714844,281.68609619140625,144.92620849609375,317.5400085449219,208.90293884277344,49.2091064453125
2022-05-05,153.89356994628906,116.40699768066406,115.70745086669922,159.23365783691406,113.06951904296875,269.4173583984375,142.25535583496094,291.09332275390625,199.86593627929688,48.787479400634766
2022-05-06,154.62106323242188,114.77249908447266,114.95365905761719,158.88232421875,112.88702392578125,266.872314453125,143.67367553710938,288.54998779296875,197.50927734375,47.7717399597168
2022-05-09,149.48931884765625,108.78900146484375,111.74031829833984,159.74713134765625,111.18988800048828,257.0125427246094,143.3144989013672,262.3699951171875,187.94639587402344,48.33071517944336
2022-05-10,151.8979034423828,108.85900115966797,113.61140441894531,159.53091430664062,108.47994232177734,261.7918395996094,142.55923461914062,266.67999267578125,188.51121520996094,47.650360107421875
2022-05-11,144.02333068847656,105.37200164794922,112.82433319091797,158.6661376953125,107.79562377929688,253.0978546142578,140.5515594482422,244.6666717529297,191.56898498535156,47.152076721191406
2022-05-12,140.14991760253906,106.93049621582031,112.07103729248047,160.2335968017578,107.7043685913086,248.04656982421875,139.9805145263672,242.6666717529297,189.2517547607422,47.10735321044922
2022-05-13,144.6230010986328,113.05500030517578,115.25557708740234,159.31475830078125,108.66242218017578,253.6515655517578,141.4817352294922,256.5299987792969,194.38380432128906,47.28942108154297
2022-05-16,143.07952880859375,110.81050109863281,113.66107940673828,160.42276000976562,107.90509796142578,254.0206298828125,142.86318969726562,241.4566650390625,192.9983367919922,47.34052276611328
2022-05-17,146.71701049804688,115.36849975585938,115.6751708984375,161.08941650390625,111.48186492919922,259.1884765625,142.45794677734375,253.8699951171875,199.0377960205078,41.95519256591797
2022-05-18,138.4393310546875,107.11250305175781,111.13301086425781,158.0985870361328,109.57486724853516,247.3877410888672,133.57968139648438,236.60333251953125,195.12533569335938,39.10600280761719
2022-05-19,135.02801513671875,107.31900024414062,109.62788391113281,156.6932373046875,107.95072174072266,246.4724884033203,130.50360107421875,236.47332763671875,192.5690460205078,38.032772064208984
2022-05-20,135.263916015625,107.59100341796875,108.16199493408203,159.43186950683594,107.0656509399414,245.90780639648438,130.5864715576172,221.3000030517578,194.18869018554688,38.07429122924805
2022-05-23,140.6906280517578,107.55699920654297,110.72432708740234,162.68666076660156,113.6899642944336,253.78463745117188,133.5888671875,224.96665954589844,202.51121520996094,39.160308837890625
2022-05-24,137.9871368408203,104.0999984741211,105.24412536621094,164.46365356445312,115.29586791992188,252.78179931640625,135.9650421142578,209.3866729736328,197.7011260986328,39.649009704589844
2022-05-25,138.14442443847656,106.7750015258789,105.08023834228516,162.849853515625,116.09882354736328,255.6054229736328,133.7362823486328,219.60000610351562,198.8816680908203,39.406253814697266
2022-05-26,141.3492889404297,111.07749938964844,107.05413818359375,162.70480346679688,118.1061782836914,258.8963928222656,134.90589904785156,235.91000366210938,203.47711181640625,40.24631118774414
2022-05-27,147.1102294921875,115.14649963378906,111.5471420288086,164.18263244628906,119.77593994140625,266.0430908203125,136.9689178466797,253.2100067138672,207.7017822265625,41.0384635925293
2022-05-31,146.32376098632812,120.20950317382812,112.98274230957031,162.76824951171875,120.65187072753906,264.709228515625,136.19529724121094,252.75332641601562,207.00906372070312,41.08637619018555
2022-06-01,146.19593811035156,121.68399810791016,113.11185455322266,161.11819458007812,118.5350341796875,265.2447204589844,134.1322784423828,246.7899932861328,204.82354736328125,40.070640563964844
2022-06-02,148.6536865234375,125.51100158691406,116.81680297851562,160.61045837402344,120.44203186035156,267.3477478027344,135.57823181152344,258.3333435058594,209.81898498535156,40.728633880615234
2022-06-03,142.92221069335938,122.3499984741211,113.75640106201172,159.94863891601562,118.76314544677734,262.90789794921875,134.36251831054688,234.51666259765625,207.4773712158203,40.029109954833984
2022-06-06,143.66941833496094,124.79000091552734,116.02029418945312,159.93051147460938,118.37077331542969,261.67138671875,133.8375701904297,238.27999877929688,207.76031494140625,39.8853759765625
2022-06-07,146.19593811035156,123.0,116.34703826904297,161.6893768310547,118.6810302734375,265.32257080078125,135.3295440673828,238.8866729736328,209.28237915039062,39.406253814697266
2022-06-08,145.4586181640625,121.18000030517578,116.39122772216797,160.72836303710938,116.79228210449219,263.2876281738281,133.64418029785156,241.86666870117188,208.3067169189453,39.06448745727539
2022-06-09,140.2285919189453,116.1500015258789,114.04889678955078,157.49166870117188,114.33780670166016,257.815673828125,131.23117065429688,239.7066650390625,201.096435546875,38.655635833740234
2022-06-10,134.8116912841797,109.6500015258789,110.40005493164062,156.43994140625,109.08216094970703,246.3264617919922,130.7338409423828,232.22999572753906,194.65701293945312,38.87282943725586
2022-06-13,129.6504669189453,103.66999816894531,105.6637191772461,154.86241149902344,105.8338623046875,235.87905883789062,127.23408508300781,215.73666381835938,187.58335876464844,38.14137268066406
2022-06-14,130.51559448242188,102.30999755859375,105.98451232910156,152.48703002929688,104.0728530883789,238.05035400390625,123.2646484375,220.88999938964844,188.8126983642578,38.1573371887207
2022-06-15,133.14044189453125,107.66999816894531,109.01263427734375,154.11898803710938,105.3046646118164,245.1288299560547,122.03974151611328,233.0,191.3885040283203,38.13179397583008
2022-06-16,127.86124420166016,103.66000366210938,105.30718231201172,154.20057678222656,103.4980239868164,238.5177001953125,122.78575897216797,213.10000610351562,184.45143127441406,38.52786636352539
2022-06-17,129.33587646484375,106.22000122070312,106.40958404541016,153.6384735107422,103.1330337524414,241.12709045410156,121.90159606933594,216.75999450683594,185.38807678222656,37.783626556396484
2022-06-21,133.57302856445312,108.68000030517578,110.77993774414062,156.8569793701172,105.68787384033203,247.05670166015625,125.59474182128906,237.0366668701172,189.6615447998047,39.02294921875
2022-06-22,133.0618133544922,108.94999694824219,110.72383880615234,159.33212280273438,105.09479522705078,246.4627685546875,127.55643463134766,236.086669921875,189.10540771484375,38.55022430419922
2022-06-23,135.9324188232422,112.44000244140625,111.47315216064453,162.88613891601562,103.94511413574219,252.041748046875,131.05618286132812,235.07000732421875,191.85682678222656,39.48609924316406
2022-06-24,139.26515197753906,116.45999908447266,117.16688537597656,165.2705841064453,107.04743194580078,260.64898681640625,132.9442138671875,245.7066650390625,200.51104736328125,39.51805114746094
2022-06-27,139.26515197753906,113.22000122070312,115.0400619506836,165.11643981933594,106.18971252441406,257.9130554199219,131.93112182617188,244.9199981689453,198.60848999023438,39.645809173583984
2022-06-28,135.11647033691406,107.4000015258789,111.24027252197266,160.42007446289062,105.67875671386719,249.72451782226562,129.78524780273438,232.663330078125,193.30084228515625,39.08683776855469
2022-06-29,136.87623596191406,108.91999816894531,110.93636322021484,160.46542358398438,105.20429229736328,253.4049530029297,130.96408081054688,228.49000549316406,194.64724731445312,38.94309616088867
2022-06-30,134.40866088867188,106.20999908447266,108.21661376953125,160.9368438720703,102.74982452392578,250.06529235839844,132.42845153808594,224.47332763671875,192.10073852539062,38.834503173828125
2022-07-01,136.5812530517578,109.55999755859375,107.99266052246094,162.7592010498047,104.06372833251953,252.74285888671875,134.56515502929688,227.26333618164062,194.33505249023438,39.16988754272461
2022-07-05,139.16683959960938,113.5,112.4871597290039,161.50804138183594,103.66791534423828,255.9267120361328,133.26651000976562,233.06666564941406,195.66192626953125,39.68734359741211
